Temperature ( C) , Humidity ( %) , Light ( lx) , Battery ( %) , Solar Panel ( V) , Carbon Monxide ( kOhm) , Nitrogen Dioxide ( kOhm) , Noise ( dB) , UTC
22.60,47.00,4540.80,84.50,0.00,417.48,26.08,81.13,2016-02-00 18:09:38
22.50,46.90,4540.80,84.40,0.00,427.49,26.10,81.04,2016-02-00 18:09:48
22.40,47.10,4540.80,84.50,0.00,427.97,26.29,81.09,2016-02-00 18:09:58
22.30,47.20,4540.80,84.50,0.00,432.52,26.46,81.35,2016-02-00 18:10:08
22.20,47.30,4540.80,84.20,0.00,430.90,26.59,81.03,2016-02-00 18:10:18
22.20,47.50,4540.80,84.30,0.00,427.08,26.63,81.08,2016-02-00 18:10:28
22.10,47.60,4540.80,84.70,0.00,429.59,26.69,81.63,2016-02-00 18:10:38
21.90,47.80,4540.80,84.30,0.00,434.57,26.80,81.22,2016-02-00 18:10:48
21.90,48.00,4540.80,84.80,0.00,433.25,26.91,81.44,2016-02-00 18:10:59
21.90,48.10,4540.80,84.50,0.00,434.00,26.97,82.19,2016-02-00 18:11:09
21.80,48.10,4540.80,84.90,0.00,434.51,26.98,81.33,2016-02-00 18:11:19
21.80,48.20,4540.80,84.80,0.00,435.15,27.08,82.16,2016-02-00 18:11:29
21.80,48.30,4540.80,84.70,0.00,435.29,27.12,81.97,2016-02-00 18:11:39
21.80,48.50,4540.80,84.40,0.00,427.73,27.13,81.84,2016-02-00 18:11:49
21.70,48.40,4540.80,84.50,0.00,436.47,27.14,81.56,2016-02-00 18:11:59
21.70,48.40,4540.80,84.60,0.00,435.55,27.15,81.76,2016-02-00 18:12:09
21.70,48.50,4540.80,84.60,0.00,431.80,27.13,81.02,2016-02-00 18:12:19
21.80,48.50,4540.80,84.60,0.00,428.07,27.08,81.31,2016-02-00 18:12:29
21.80,48.50,4540.80,84.70,0.00,430.29,27.06,81.22,2016-02-00 18:12:39
21.80,48.50,4540.80,84.60,0.00,423.69,27.02,81.23,2016-02-00 18:12:49
21.90,48.60,4540.80,84.70,0.00,419.88,26.80,81.22,2016-02-00 18:12:59
21.90,48.50,4540.80,84.80,0.00,412.19,26.68,81.43,2016-02-00 18:13:09
21.90,48.40,4540.80,84.60,0.00,416.53,26.62,81.92,2016-02-00 18:13:19
22.00,48.30,4540.80,84.90,0.00,433.94,26.53,81.01,2016-02-00 18:13:29
22.00,48.20,4540.80,84.50,0.00,423.28,26.60,81.97,2016-02-00 18:13:39
22.10,48.10,4540.80,84.60,0.00,423.71,26.55,81.46,2016-02-00 18:13:49
22.10,48.00,4540.80,84.50,0.00,425.29,26.56,81.28,2016-02-00 18:13:59
22.20,48.10,4540.80,84.40,0.00,418.13,26.41,81.59,2016-02-00 18:14:09
22.20,48.00,4540.80,84.70,0.00,418.79,26.33,82.43,2016-02-00 18:14:19
22.20,47.90,4540.80,84.70,0.00,420.52,26.33,85.20,2016-02-00 18:14:29
22.20,48.00,4540.80,84.80,0.00,409.92,26.19,81.60,2016-02-00 18:14:39
22.20,48.00,4540.80,84.60,0.00,416.93,26.06,81.88,2016-02-00 18:14:49
22.20,48.00,4540.80,84.50,0.00,416.80,25.86,82.04,2016-02-00 18:14:59
22.20,48.00,4540.80,84.60,0.00,418.53,25.72,81.14,2016-02-00 18:15:09
22.30,47.90,4540.80,84.50,0.00,421.04,25.77,80.88,2016-02-00 18:15:19
22.30,47.70,4540.80,84.60,0.00,416.76,25.93,81.22,2016-02-00 18:15:29
22.30,47.60,4540.80,84.50,0.00,420.10,25.91,81.28,2016-02-00 18:15:39
22.40,47.50,4540.80,85.00,0.00,422.06,25.91,81.46,2016-02-00 18:15:49
22.40,47.40,4540.80,84.30,0.00,413.52,26.02,81.74,2016-02-00 18:15:59
22.40,47.40,4540.80,84.60,0.00,425.07,26.00,82.11,2016-02-00 18:16:09
22.40,47.40,4540.80,84.60,0.00,421.17,26.02,81.05,2016-02-00 18:16:19
22.50,47.20,4540.80,85.30,0.00,423.78,26.03,81.18,2016-02-00 18:16:29
22.50,47.20,4540.80,85.00,0.00,425.14,26.21,81.49,2016-02-00 18:16:39
22.50,47.00,4540.80,85.00,0.00,423.67,26.19,81.64,2016-02-00 18:16:49
22.50,47.20,4540.80,84.50,0.00,416.25,26.09,81.53,2016-02-00 18:16:59
22.50,47.10,4540.80,84.60,0.00,417.68,25.94,81.22,2016-02-00 18:17:09
22.50,47.10,4540.80,84.40,0.00,421.73,25.39,81.29,2016-02-00 18:17:20
22.60,47.10,4540.80,85.20,0.00,418.87,25.24,81.61,2016-02-00 18:17:30
22.50,47.00,4540.80,84.90,0.00,422.33,25.30,81.07,2016-02-00 18:17:40
22.40,47.00,4540.80,85.30,0.00,426.94,26.02,81.17,2016-02-00 18:17:50
22.30,47.10,4540.80,85.30,0.00,428.36,26.28,81.76,2016-02-00 18:18:00
22.30,47.30,4540.80,84.50,0.00,422.06,26.38,80.89,2016-02-00 18:18:10
22.20,47.40,4540.80,84.30,0.00,426.32,25.76,81.30,2016-02-00 18:18:20
22.20,47.50,4540.80,84.80,0.00,425.26,25.56,81.03,2016-02-00 18:18:30
22.20,47.50,4540.80,85.20,0.00,424.43,26.21,81.13,2016-02-00 18:18:40
22.20,47.60,4540.80,85.00,0.00,424.63,26.36,81.11,2016-02-00 18:18:50
22.10,47.60,4540.80,85.10,0.00,428.14,26.47,81.39,2016-02-00 18:19:00
22.10,47.70,4540.80,85.00,0.00,427.92,26.61,80.86,2016-02-00 18:19:10
22.00,47.80,4540.80,85.10,0.00,423.51,26.61,80.91,2016-02-00 18:19:20
22.00,48.00,4540.80,85.00,0.00,426.03,26.54,80.87,2016-02-00 18:19:30
21.90,47.90,4540.80,85.00,0.00,429.21,26.64,81.68,2016-02-00 18:19:40
21.80,48.10,4540.80,85.00,0.00,428.66,26.76,82.01,2016-02-00 18:19:50
21.80,48.20,4540.80,85.10,0.00,433.44,26.88,81.70,2016-02-00 18:20:00
21.70,48.30,4540.80,85.10,0.00,433.10,27.01,80.97,2016-02-00 18:20:10
21.70,48.40,4540.80,85.20,0.00,432.80,27.08,87.63,2016-02-00 18:20:20
21.60,48.60,4540.80,85.20,0.00,433.70,27.15,85.82,2016-02-00 18:20:30
21.60,48.70,4540.80,85.00,0.00,433.08,27.32,88.69,2016-02-00 18:20:40
21.60,48.70,4540.80,85.00,0.00,432.73,27.32,81.57,2016-02-00 18:20:50
21.70,48.70,4540.80,85.20,0.00,427.77,27.22,81.88,2016-02-00 18:21:00
21.70,48.70,4540.80,85.30,0.00,427.41,27.22,81.41,2016-02-00 18:21:10
21.70,48.70,4540.80,85.30,0.00,426.07,27.14,81.39,2016-02-00 18:21:20
21.70,48.70,4540.80,85.00,0.00,428.17,27.16,81.80,2016-02-00 18:21:30
21.70,48.70,4540.80,85.20,0.00,427.33,27.11,82.34,2016-02-00 18:21:40
21.80,48.80,4540.80,85.50,0.00,416.92,27.04,81.80,2016-02-00 18:21:50
21.90,48.50,4540.80,85.00,0.00,424.36,26.92,81.85,2016-02-00 18:22:00
21.90,48.40,4540.80,85.00,0.00,426.16,26.86,82.16,2016-02-00 18:22:10
22.00,48.40,4540.80,84.90,0.00,419.50,26.84,82.23,2016-02-00 18:22:20
22.00,48.30,4540.80,85.10,0.00,424.92,26.77,81.70,2016-02-00 18:22:30
22.10,48.10,4540.80,85.30,0.00,424.23,26.79,81.32,2016-02-00 18:22:40
22.10,48.10,4540.80,85.10,0.00,419.06,26.80,82.14,2016-02-00 18:22:50
22.10,48.20,4540.80,85.50,0.00,414.17,26.67,82.16,2016-02-00 18:23:00
22.10,48.30,4540.80,84.90,0.00,418.32,26.58,82.07,2016-02-00 18:23:10
22.20,48.20,4540.80,84.80,0.00,415.32,25.74,82.10,2016-02-00 18:23:21
22.20,48.20,4540.80,85.30,0.00,415.14,26.04,80.94,2016-02-00 18:23:30
22.20,48.20,4540.80,85.10,0.00,418.64,25.99,81.34,2016-02-00 18:23:41
22.20,48.20,4540.80,85.00,0.00,421.34,26.03,81.02,2016-02-00 18:23:51
22.20,48.30,4540.80,85.30,0.00,417.78,26.05,81.13,2016-02-00 18:24:01
22.20,48.20,4540.80,85.30,0.00,418.65,25.99,81.15,2016-02-00 18:24:11
22.20,48.20,4540.80,84.50,0.00,435.11,26.15,81.26,2016-02-00 18:24:21
22.30,48.10,4540.80,84.60,0.00,426.79,26.16,81.11,2016-02-00 18:24:31
22.30,47.90,4540.80,86.40,0.00,431.77,26.16,80.83,2016-02-00 18:24:41
22.20,47.90,4540.80,86.00,0.00,441.20,26.88,80.99,2016-02-00 18:24:51
22.20,47.80,4540.80,85.00,0.00,437.37,26.65,81.20,2016-02-00 18:25:01
22.20,47.80,4540.80,85.50,0.00,441.17,26.63,80.83,2016-02-00 18:25:11
22.20,47.70,4540.80,86.00,0.00,422.39,26.83,81.37,2016-02-00 18:25:21
22.20,47.80,4540.80,85.20,0.00,434.12,26.72,81.00,2016-02-00 18:25:31
22.30,47.80,4540.80,85.60,0.00,418.25,26.80,80.81,2016-02-00 18:25:41
22.30,47.70,4540.80,84.80,0.00,430.10,26.53,81.04,2016-02-00 18:25:51
22.20,47.50,4540.80,82.90,0.00,421.61,26.26,81.50,2016-02-00 18:26:01
22.20,47.40,4540.80,84.80,0.00,428.13,26.36,80.86,2016-02-00 18:26:11
22.10,47.50,4540.80,88.10,0.00,427.02,26.61,80.93,2016-02-00 18:26:21
22.10,47.50,4540.80,85.80,0.00,424.83,27.44,80.76,2016-02-00 18:26:31
22.10,47.50,4540.80,84.10,0.00,461.74,27.33,80.62,2016-02-00 18:26:41
22.00,47.60,4540.80,85.50,0.00,430.55,27.42,79.92,2016-02-00 18:26:51
22.00,47.70,4540.80,88.60,0.00,438.88,27.09,81.30,2016-02-00 18:27:01
22.00,47.80,4540.80,83.00,0.00,419.91,26.45,79.35,2016-02-00 18:27:11
21.90,47.90,4540.80,84.50,0.00,474.02,26.50,81.24,2016-02-00 18:27:21
21.80,48.10,4540.80,83.20,0.00,442.26,26.48,80.69,2016-02-00 18:27:31
21.70,48.20,4540.80,88.00,0.00,451.77,27.56,80.76,2016-02-00 18:27:41
21.80,48.30,4540.80,84.50,0.00,390.77,26.74,79.87,2016-02-00 18:27:51
21.80,48.40,4540.80,88.30,0.00,512.16,27.93,81.12,2016-02-00 18:28:01
21.80,48.40,4540.80,84.20,0.00,444.67,27.52,80.44,2016-02-00 18:28:11
21.80,48.30,4540.80,85.60,0.00,452.60,27.51,81.34,2016-02-00 18:28:21
21.70,48.30,4540.80,83.50,0.00,460.32,27.59,80.84,2016-02-00 18:28:31
21.70,48.30,4540.80,82.00,0.00,391.08,26.80,81.06,2016-02-00 18:28:41
21.70,48.40,4540.80,85.50,0.00,397.71,27.73,80.75,2016-02-00 18:28:51
21.70,48.50,4540.80,84.40,0.00,398.55,26.60,81.07,2016-02-00 18:29:01
21.60,48.50,4540.80,84.00,0.00,459.35,25.90,80.83,2016-02-00 18:29:11
21.60,48.70,4540.80,85.50,0.00,424.46,26.48,82.12,2016-02-00 18:29:21
21.60,48.70,4540.80,88.50,0.00,488.67,27.28,81.09,2016-02-00 18:29:31
21.60,48.80,4540.80,86.50,0.00,425.88,28.11,81.05,2016-02-00 18:29:42
21.70,48.70,4540.80,86.70,0.00,451.30,26.79,81.45,2016-02-00 18:29:51
21.70,48.60,4540.80,86.40,0.00,435.96,27.36,81.42,2016-02-00 18:30:02
21.70,48.70,4540.80,91.20,0.00,481.17,28.68,81.08,2016-02-00 18:30:12
21.70,48.80,4540.80,79.60,0.00,369.23,26.59,80.66,2016-02-00 18:30:22
21.80,48.70,4540.80,86.50,0.00,460.03,26.36,80.80,2016-02-00 18:30:32
21.90,48.60,4540.80,84.70,0.00,456.94,27.05,81.37,2016-02-00 18:30:42
21.90,48.60,4540.80,84.80,0.00,407.07,27.15,80.98,2016-02-00 18:30:52
22.00,48.70,4540.80,85.00,0.00,413.31,27.45,81.00,2016-02-00 18:31:02
22.00,48.50,4540.80,85.30,0.00,442.34,26.28,80.92,2016-02-00 18:31:12
22.10,48.40,4540.80,88.00,0.00,464.68,27.13,80.93,2016-02-00 18:31:22
22.10,48.40,4540.80,88.70,0.00,454.77,27.52,81.25,2016-02-00 18:31:32
22.20,48.30,4540.80,88.00,0.00,439.58,27.61,80.23,2016-02-00 18:31:42
22.20,48.20,4540.80,85.00,0.00,434.15,26.85,80.88,2016-02-00 18:31:52
22.30,48.20,4540.80,85.00,0.00,441.31,26.74,81.14,2016-02-00 18:32:02
22.30,48.10,4540.80,85.40,0.00,422.45,26.68,80.86,2016-02-00 18:32:12
22.30,48.00,4540.80,85.20,0.00,418.57,26.15,81.24,2016-02-00 18:32:22
22.40,48.00,4540.80,85.00,0.00,422.52,26.00,80.39,2016-02-00 18:32:32
22.40,47.90,4540.80,85.30,0.00,426.68,25.85,80.22,2016-02-00 18:32:42
22.40,47.90,4540.80,85.30,0.00,425.21,26.41,82.12,2016-02-00 18:32:52
22.50,48.00,4540.80,86.10,0.00,441.41,26.38,80.76,2016-02-00 18:33:02
22.40,47.80,4540.80,85.50,0.00,437.85,26.68,85.35,2016-02-00 18:33:12
22.40,47.70,4540.80,85.10,0.00,429.86,26.74,88.97,2016-02-00 18:33:22
22.40,47.70,4540.80,85.40,0.00,435.00,26.71,80.38,2016-02-00 18:33:32
22.40,47.70,4540.80,85.70,0.00,436.88,26.77,80.97,2016-02-00 18:33:42
22.40,47.50,4540.80,85.60,0.00,436.88,26.85,80.52,2016-02-00 18:33:52
22.40,47.40,4540.80,85.20,0.00,439.23,26.89,81.27,2016-02-00 18:34:02
22.50,47.30,4540.80,85.10,0.00,439.32,27.02,80.37,2016-02-00 18:34:12
22.60,47.10,4540.80,85.20,0.00,425.53,26.52,80.77,2016-02-00 18:34:22
22.50,47.10,4540.80,85.50,0.00,440.49,26.87,80.92,2016-02-00 18:34:32
22.50,46.90,4540.80,85.00,0.00,439.40,27.11,80.70,2016-02-00 18:34:42
22.50,47.00,4540.80,84.90,0.00,439.47,27.20,80.97,2016-02-00 18:34:52
22.40,47.00,4540.80,85.00,0.00,441.04,27.29,81.10,2016-02-00 18:35:02
22.30,47.10,4540.80,86.00,0.00,440.35,27.25,80.82,2016-02-00 18:35:12
22.30,47.40,4540.80,85.00,0.00,441.59,26.79,80.79,2016-02-00 18:35:22
22.20,47.30,4540.80,85.20,0.00,425.74,26.68,80.88,2016-02-00 18:35:32
22.10,47.40,4540.80,85.20,0.00,437.77,26.70,80.76,2016-02-00 18:35:42
22.10,47.70,4540.80,85.90,0.00,434.14,27.26,80.18,2016-02-00 18:35:52
22.10,47.70,4540.80,86.00,0.00,452.22,27.35,80.79,2016-02-00 18:36:02
22.10,47.80,4540.80,85.50,0.00,436.15,27.40,80.61,2016-02-00 18:36:12
22.00,47.80,4540.80,85.80,0.00,425.51,27.50,80.83,2016-02-00 18:36:23
21.90,47.90,4540.80,85.70,0.00,420.82,27.52,80.64,2016-02-00 18:36:33
21.90,48.10,4540.80,85.70,0.00,425.07,27.51,89.14,2016-02-00 18:36:43
21.90,48.00,4540.80,85.90,0.00,426.33,27.47,81.42,2016-02-00 18:36:53
21.80,48.20,4540.80,86.00,0.00,425.90,27.48,81.16,2016-02-00 18:37:03
21.80,48.20,4540.80,85.80,0.00,426.19,27.53,81.80,2016-02-00 18:37:13
21.80,48.30,4540.80,80.60,0.00,423.05,27.72,76.50,2016-02-00 18:37:23
21.80,48.40,4540.80,80.10,0.00,423.06,27.72,71.22,2016-02-00 18:37:33
21.70,48.40,4540.80,80.20,0.00,429.59,27.71,65.61,2016-02-00 18:37:43
21.70,48.60,4540.80,79.70,0.00,429.82,27.19,66.67,2016-02-00 18:37:53
21.60,48.60,4540.80,79.90,0.00,429.54,27.14,67.68,2016-02-00 18:38:03
21.60,48.70,4540.80,79.90,0.00,429.47,27.17,68.43,2016-02-00 18:38:13
21.60,48.80,4540.80,79.90,0.00,429.67,27.29,67.01,2016-02-00 18:38:23
21.60,48.90,4540.80,79.90,0.00,426.39,27.30,66.48,2016-02-00 18:38:33
21.60,48.90,4540.80,79.90,0.00,443.33,27.23,67.98,2016-02-00 18:38:43
21.70,48.80,4540.80,79.50,0.00,435.96,27.26,72.44,2016-02-00 18:38:53
21.70,48.80,4540.80,79.50,0.00,432.67,27.29,70.99,2016-02-00 18:39:03
21.60,48.70,4540.80,79.90,0.00,430.03,27.29,71.40,2016-02-00 18:39:13
21.70,48.80,4540.80,79.50,0.00,436.49,27.30,66.95,2016-02-00 18:39:23
21.70,48.80,4540.80,79.50,0.00,436.31,27.30,70.92,2016-02-00 18:39:33
21.70,48.70,4540.80,79.50,0.00,432.83,27.32,67.37,2016-02-00 18:39:43
21.80,48.70,4540.80,79.50,0.00,436.33,27.43,67.08,2016-02-00 18:39:53
21.80,48.50,4540.80,79.50,0.00,436.34,27.43,67.01,2016-02-00 18:40:03
21.90,48.50,4540.80,79.50,0.00,426.53,27.43,65.30,2016-02-00 18:40:13
21.90,48.40,4540.80,79.50,0.00,432.64,27.31,67.07,2016-02-00 18:40:23
21.90,48.30,4540.80,79.50,0.00,426.14,27.30,66.26,2016-02-00 18:40:33
21.90,48.30,4540.80,79.50,0.00,429.59,27.30,64.64,2016-02-00 18:40:43
21.90,48.30,4540.80,79.50,0.00,429.41,27.42,67.03,2016-02-00 18:40:53
21.90,48.20,4540.80,79.50,0.00,432.82,27.42,68.51,2016-02-00 18:41:03
21.90,48.20,4540.80,79.50,0.00,432.92,27.43,66.51,2016-02-00 18:41:13
21.90,48.20,4540.80,79.50,0.00,429.43,27.42,68.25,2016-02-00 18:41:23
22.00,48.20,4540.80,79.50,0.00,432.86,27.43,64.14,2016-02-00 18:41:33
22.00,48.20,4540.80,79.50,0.00,436.33,27.50,67.79,2016-02-00 18:41:43
22.00,48.10,4540.80,79.00,0.00,435.18,27.56,67.49,2016-02-00 18:41:53
22.00,48.10,4540.80,79.50,0.00,429.47,27.56,54.94,2016-02-00 18:42:03
22.10,48.10,4540.80,79.00,0.00,432.86,27.56,61.26,2016-02-00 18:42:13
22.10,48.00,4540.80,79.50,0.00,432.81,27.56,54.78,2016-02-00 18:42:23
22.10,48.00,4540.80,79.00,0.00,432.87,27.56,64.65,2016-02-00 18:42:33
22.10,47.90,4540.80,79.50,0.00,432.99,27.64,62.52,2016-02-00 18:42:44
22.10,48.00,4540.80,79.40,0.00,436.50,27.71,65.49,2016-02-00 18:42:54
22.10,47.90,4540.80,79.00,0.00,436.31,27.74,49.47,2016-02-00 18:43:04
22.20,47.90,4540.80,79.40,0.00,436.34,27.85,60.30,2016-02-00 18:43:14
22.20,47.80,4540.80,79.00,0.00,436.39,27.83,49.68,2016-02-00 18:43:24
22.20,47.80,4540.80,79.10,0.00,439.72,27.95,64.76,2016-02-00 18:43:34
22.20,47.80,4540.80,79.00,0.00,432.89,27.92,64.13,2016-02-00 18:43:44
22.20,47.80,4540.80,79.10,0.00,436.84,27.82,64.27,2016-02-00 18:43:54
22.10,47.80,4540.80,79.10,0.00,433.22,27.94,64.10,2016-02-00 18:44:04
22.10,47.70,4540.80,79.00,0.00,432.87,27.96,64.52,2016-02-00 18:44:14
22.00,47.80,4540.80,79.10,0.00,439.63,27.95,64.84,2016-02-00 18:44:24
22.00,47.90,4540.80,79.00,0.00,436.27,27.96,55.84,2016-02-00 18:44:34
22.00,47.90,4540.80,79.10,0.00,432.75,27.95,60.00,2016-02-00 18:44:44
21.80,48.00,4540.80,78.60,0.00,432.92,27.97,49.52,2016-02-00 18:44:54
21.70,48.10,4540.80,79.00,0.00,439.76,27.96,64.80,2016-02-00 18:45:04
21.70,48.30,4540.80,79.00,0.00,436.28,27.96,54.84,2016-02-00 18:45:14
21.60,48.40,4540.80,79.10,0.00,436.22,27.95,50.26,2016-02-00 18:45:24
21.50,48.60,4540.80,79.00,0.00,432.82,27.96,59.99,2016-02-00 18:45:34
21.50,48.70,4540.80,79.10,0.00,437.01,27.95,64.28,2016-02-00 18:45:44
21.40,48.80,4540.80,79.10,0.00,436.15,27.95,64.28,2016-02-00 18:45:54
21.40,48.90,4540.80,79.00,0.00,436.28,27.96,61.05,2016-02-00 18:46:04
21.40,49.00,4540.80,79.00,0.00,433.10,27.84,66.64,2016-02-00 18:46:14
21.40,49.00,4540.80,79.10,0.00,435.98,27.82,56.05,2016-02-00 18:46:24
21.40,49.00,4540.80,79.10,0.00,434.46,27.95,66.46,2016-02-00 18:46:34
21.40,49.00,4540.80,79.10,0.00,432.93,27.95,67.53,2016-02-00 18:46:44
21.40,49.00,4540.80,79.00,0.00,436.23,27.96,62.31,2016-02-00 18:46:54
21.30,49.00,4540.80,79.10,0.00,439.66,28.07,66.94,2016-02-00 18:47:04
21.30,49.10,4540.80,79.10,0.00,436.20,28.08,64.97,2016-02-00 18:47:14
21.20,49.20,4540.80,79.20,0.00,439.60,28.13,66.36,2016-02-00 18:47:24
21.20,49.30,4540.80,79.10,0.00,443.07,28.22,65.64,2016-02-00 18:47:34
21.10,49.40,4540.80,79.10,0.00,439.82,28.22,67.20,2016-02-00 18:47:44
21.20,49.50,4540.80,79.10,0.00,439.66,28.22,67.65,2016-02-00 18:47:54
21.10,49.50,4540.80,78.70,0.00,439.68,28.22,70.81,2016-02-00 18:48:04
21.10,49.50,4540.80,79.10,0.00,436.10,28.22,68.14,2016-02-00 18:48:14
21.20,49.60,4540.80,78.70,0.00,436.16,28.22,71.36,2016-02-00 18:48:24
21.20,49.60,4540.80,78.70,0.00,436.23,28.22,71.01,2016-02-00 18:48:34
21.30,49.60,4540.80,78.60,0.00,436.25,28.22,68.62,2016-02-00 18:48:44
21.30,49.50,4540.80,78.60,0.00,437.52,28.23,66.15,2016-02-00 18:48:54
21.40,49.30,4540.80,78.70,0.00,436.15,28.21,64.77,2016-02-00 18:49:05
21.40,49.20,4540.80,78.60,0.00,433.19,28.22,68.70,2016-02-00 18:49:15
21.50,49.10,4540.80,78.70,0.00,436.00,28.22,71.23,2016-02-00 18:49:25
21.50,49.00,4540.80,78.70,0.00,432.70,28.21,66.34,2016-02-00 18:49:35
21.50,49.00,4540.80,78.70,0.00,429.39,28.08,67.00,2016-02-00 18:49:45
21.50,48.90,4540.80,78.70,0.00,429.39,28.09,70.97,2016-02-00 18:49:55
21.60,48.90,4540.80,78.70,0.00,435.87,28.08,65.05,2016-02-00 18:50:05
21.60,48.90,4540.80,78.60,0.00,429.46,28.09,68.27,2016-02-00 18:50:15
21.60,49.00,4540.80,78.70,0.00,429.48,28.09,67.21,2016-02-00 18:50:25
21.60,48.90,4540.80,78.70,0.00,429.32,28.08,66.58,2016-02-00 18:50:35
21.60,48.90,4540.80,78.70,0.00,430.72,28.08,68.15,2016-02-00 18:50:45
21.60,48.80,4540.80,78.70,0.00,432.73,28.20,66.34,2016-02-00 18:50:55
21.70,48.80,4540.80,78.70,0.00,429.32,28.21,67.58,2016-02-00 18:51:05
21.70,48.80,4540.80,78.70,0.00,429.35,28.08,54.52,2016-02-00 18:51:15
21.70,48.80,4540.80,78.70,0.00,429.38,28.11,60.05,2016-02-00 18:51:25
21.70,48.80,4540.80,78.70,0.00,428.97,28.09,60.05,2016-02-00 18:51:35
21.70,48.80,4540.80,78.70,0.00,429.69,28.10,66.68,2016-02-00 18:51:45
21.70,48.80,4540.80,78.70,0.00,432.71,28.22,64.86,2016-02-00 18:51:55
21.70,48.70,4540.80,78.60,0.00,429.43,28.23,64.11,2016-02-00 18:52:05
21.80,48.60,4540.80,78.70,0.00,432.80,28.22,49.52,2016-02-00 18:52:15
21.70,48.60,4540.80,78.60,0.00,432.84,28.22,60.36,2016-02-00 18:52:25
21.70,48.60,4540.80,78.70,0.00,429.36,28.11,54.42,2016-02-00 18:52:35
21.70,48.70,4540.80,78.20,0.00,426.75,28.09,65.30,2016-02-00 18:52:45
21.70,48.70,4540.80,78.70,0.00,425.92,28.09,54.89,2016-02-00 18:52:55
21.70,48.70,4540.80,78.70,0.00,435.85,28.21,64.30,2016-02-00 18:53:05
21.70,48.70,4540.80,78.20,0.00,429.41,28.22,65.30,2016-02-00 18:53:15
21.70,48.60,4540.80,78.70,0.00,426.09,28.13,61.73,2016-02-00 18:53:25
21.70,48.60,4540.80,78.70,0.00,429.07,28.08,54.63,2016-02-00 18:53:35
21.60,48.60,4540.80,78.70,0.00,428.72,28.09,60.10,2016-02-00 18:53:45
21.50,48.60,4540.80,78.70,0.00,419.41,28.08,66.63,2016-02-00 18:53:55
21.50,48.80,4540.80,78.70,0.00,432.79,28.08,59.99,2016-02-00 18:54:05
21.50,48.80,4540.80,78.30,0.00,432.76,27.95,60.42,2016-02-00 18:54:15
21.40,48.90,4540.80,78.70,0.00,429.38,27.95,60.52,2016-02-00 18:54:25
21.40,49.00,4540.80,78.70,0.00,429.38,27.95,64.99,2016-02-00 18:54:35
21.40,49.10,4540.80,78.30,0.00,429.29,27.95,54.89,2016-02-00 18:54:45
21.40,49.10,4540.80,78.30,0.00,429.36,27.95,66.84,2016-02-00 18:54:55
21.40,49.10,4540.80,78.30,0.00,431.57,27.95,58.84,2016-02-00 18:55:05
21.40,49.10,4540.80,78.30,0.00,429.33,27.95,49.94,2016-02-00 18:55:15
21.40,49.10,4540.80,78.30,0.00,426.03,28.05,67.03,2016-02-00 18:55:26
21.40,49.00,4540.80,78.30,0.00,432.74,28.08,64.59,2016-02-00 18:55:36
21.50,49.00,4540.80,78.30,0.00,432.73,28.07,71.21,2016-02-00 18:55:46
21.40,49.00,4540.80,78.30,0.00,425.97,28.08,66.08,2016-02-00 18:55:56
21.30,49.00,4540.80,78.30,0.00,436.16,28.21,64.38,2016-02-00 18:56:06
21.30,49.10,4540.80,78.30,0.00,436.13,28.21,65.13,2016-02-00 18:56:16
21.30,49.20,4540.80,78.30,0.00,432.67,28.29,64.94,2016-02-00 18:56:26
21.20,49.30,4540.80,78.30,0.00,432.70,28.33,64.21,2016-02-00 18:56:36
21.20,49.30,4540.80,78.40,0.00,436.05,28.32,67.23,2016-02-00 18:56:46
21.20,49.40,4540.80,78.30,0.00,432.71,28.43,68.44,2016-02-00 18:56:56
21.20,49.40,4540.80,78.30,0.00,432.71,28.46,66.42,2016-02-00 18:57:06
21.20,49.50,4540.80,78.30,0.00,429.38,28.36,70.83,2016-02-00 18:57:16
21.20,49.50,4540.80,78.30,0.00,432.75,28.33,67.96,2016-02-00 18:57:26
21.20,49.50,4540.80,78.30,0.00,429.37,28.34,71.52,2016-02-00 18:57:36
21.30,49.50,4540.80,77.90,0.00,436.04,28.42,67.10,2016-02-00 18:57:46
21.30,49.50,4540.80,78.40,0.00,432.63,28.46,68.05,2016-02-00 18:57:56
21.30,49.50,4540.80,78.30,0.00,432.66,28.46,66.46,2016-02-00 18:58:06
21.40,49.40,4540.80,78.20,0.00,430.95,28.47,66.26,2016-02-00 18:58:16
21.40,49.30,4540.80,78.20,0.00,426.06,28.48,65.17,2016-02-00 18:58:26
21.40,49.20,4540.80,78.30,0.00,425.97,28.46,66.40,2016-02-00 18:58:36
21.40,49.20,4540.80,77.90,0.00,429.37,28.33,65.42,2016-02-00 18:58:46
21.40,49.20,4540.80,78.30,0.00,429.48,28.33,64.94,2016-02-00 18:58:56
21.40,49.20,4540.80,78.30,0.00,423.16,28.32,65.13,2016-02-00 18:59:06
21.40,49.20,4540.80,78.40,0.00,422.50,28.20,67.04,2016-02-00 18:59:16
21.50,49.20,4540.80,78.30,0.00,425.96,28.20,68.10,2016-02-00 18:59:26
21.50,49.20,4540.80,78.30,0.00,426.43,28.20,65.68,2016-02-00 18:59:36
21.50,49.10,4540.80,77.90,0.00,428.66,28.33,68.56,2016-02-00 18:59:46
21.50,49.20,4540.80,78.30,0.00,426.05,28.32,65.45,2016-02-00 18:59:56
